num_ind,exact_exp_homo_b, simple_exp_homo_b,max_diff,fractional_max_diff
2,0.333333333,0.5,0.166666667,0.083333333
3,0.6,0.75,0.15,0.05
4,0.857142857,1,0.142857143,0.035714286
5,1.111111111,1.25,0.138888889,0.027777778
6,1.363636364,1.5,0.136363636,0.022727273
7,1.615384615,1.75,0.134615385,0.019230769
8,1.866666667,2,0.133333333,0.016666667
9,2.117647059,2.25,0.132352941,0.014705882
10,2.368421053,2.5,0.131578947,0.013157895
11,2.619047619,2.75,0.130952381,0.011904762
12,2.869565217,3,0.130434783,0.010869565
13,3.12,3.25,0.13,0.01
14,3.37037037,3.5,0.12962963,0.009259259
15,3.620689655,3.75,0.129310345,0.00862069
16,3.870967742,4,0.129032258,0.008064516
17,4.121212121,4.25,0.128787879,0.007575758
18,4.371428571,4.5,0.128571429,0.007142857
19,4.621621622,4.75,0.128378378,0.006756757
20,4.871794872,5,0.128205128,0.006410256
21,5.12195122,5.25,0.12804878,0.006097561
22,5.372093023,5.5,0.127906977,0.005813953
23,5.622222222,5.75,0.127777778,0.005555556
24,5.872340426,6,0.127659574,0.005319149
25,6.12244898,6.25,0.12755102,0.005102041
26,6.37254902,6.5,0.12745098,0.004901961
27,6.622641509,6.75,0.127358491,0.004716981
28,6.872727273,7,0.127272727,0.004545455
29,7.122807018,7.25,0.127192982,0.004385965
30,7.372881356,7.5,0.127118644,0.004237288
31,7.62295082,7.75,0.12704918,0.004098361
32,7.873015873,8,0.126984127,0.003968254
33,8.123076923,8.25,0.126923077,0.003846154
34,8.373134328,8.5,0.126865672,0.003731343
35,8.623188406,8.75,0.126811594,0.003623188
36,8.873239437,9,0.126760563,0.003521127
37,9.123287671,9.25,0.126712329,0.003424658
38,9.373333333,9.5,0.126666667,0.003333333
39,9.623376623,9.75,0.126623377,0.003246753
40,9.873417722,10,0.126582278,0.003164557
41,10.12345679,10.25,0.12654321,0.00308642
42,10.37349398,10.5,0.126506024,0.003012048
43,10.62352941,10.75,0.126470588,0.002941176
44,10.87356322,11,0.126436782,0.002873563
45,11.12359551,11.25,0.126404494,0.002808989
46,11.37362637,11.5,0.126373626,0.002747253
47,11.62365591,11.75,0.126344086,0.002688172
48,11.87368421,12,0.126315789,0.002631579
49,12.12371134,12.25,0.12628866,0.00257732
50,12.37373737,12.5,0.126262626,0.002525253
51,12.62376238,12.75,0.126237624,0.002475248
52,12.87378641,13,0.126213592,0.002427184
53,13.12380952,13.25,0.126190476,0.002380952
54,13.37383178,13.5,0.126168224,0.002336449
55,13.62385321,13.75,0.126146789,0.002293578
56,13.87387387,14,0.126126126,0.002252252
57,14.12389381,14.25,0.126106195,0.002212389
58,14.37391304,14.5,0.126086957,0.002173913
59,14.62393162,14.75,0.126068376,0.002136752
60,14.87394958,15,0.12605042,0.00210084
61,15.12396694,15.25,0.126033058,0.002066116
62,15.37398374,15.5,0.12601626,0.00203252
63,15.624,15.75,0.126,0.002
64,15.87401575,16,0.125984252,0.001968504
65,16.12403101,16.25,0.125968992,0.001937984
66,16.3740458,16.5,0.125954198,0.001908397
67,16.62406015,16.75,0.12593985,0.001879699
68,16.87407407,17,0.125925926,0.001851852
69,17.12408759,17.25,0.125912409,0.001824818
70,17.37410072,17.5,0.125899281,0.001798561
71,17.62411348,17.75,0.125886525,0.00177305
72,17.87412587,18,0.125874126,0.001748252
73,18.12413793,18.25,0.125862069,0.001724138
74,18.37414966,18.5,0.12585034,0.00170068
75,18.62416107,18.75,0.125838926,0.001677852
76,18.87417219,19,0.125827815,0.001655629
77,19.12418301,19.25,0.125816993,0.001633987
