,avg_homo_b,exp_homo_b,n_ton
0,0,0,2
1,0,0,3
2,0,0,4
3,0,0,5
4,0,0,6
5,0,0,7
6,0,0,8
7,0,0,9
8,0,0,10
9,0,0,11
10,0,0,12
11,0,0,13
12,0,0,14
13,0,0,15
14,0,0,16
15,0,0,17
16,0,0,18
17,0,0,19
18,0,0,20
19,0,0,21
20,0,0,22
21,0,0,23
22,0,0,24
23,0,0,25
24,0,0,26
25,0,0,27
26,0,0,28
27,0,0,29
28,0,0,30
29,0,0,31
30,0,0,32
31,0,0,33
32,0,0,34
33,0,0,35
34,0,0,36
35,0,0,37
36,0,0,38
37,0,0,39
38,0,0,40
39,0,0,41
40,0,0,42
41,0,0,43
42,0,0,44
43,0,0,45
44,0,0,46
45,0,0,47
46,0,0,48
47,0,0,49
48,0,0,50
49,1,0,51
50,0,0,52
51,0,0,53
52,0,0,54
53,0,0,55
54,1,0,56
55,0,0,57
56,0,0,58
57,1,0,59
58,0,0,60
59,0,0,61
60,1,0,62
61,1,0,63
62,0,0,64
63,2,0,65
64,0,0,66
65,0,0,67
66,2,0,68
67,0,0,69
68,1,0,70
69,1,0,71
70,2,0,72
71,1,0,73
72,0,0,74
73,1,0,75
74,1,0,76
75,2,0,77
76,2,0,78
77,2,0,79
78,2,0,80
79,2,0,81
80,1,0,82
81,2,0,83
82,1,0,84
83,2,0,85
84,2,0,86
85,1,0,87
86,3,0,88
87,0,0,89
88,0,0,90
89,2,0,91
90,2,0,92
91,1,0,93
92,1,0,94
93,3,0,95
94,1,0,96
95,2,0,97
96,1,0,98
97,1,0,99
98,4,0,100
99,3,0,101
100,2,0,102
101,3,0,103
102,4,0,104
103,2,0,105
104,3,0,106
105,3,0,107
106,3,0,108
107,2,0,109
108,3,0,110
109,3,0,111
110,3,0,112
111,3,0,113
112,4,0,114
113,4,0,115
114,3,0,116
115,3,0,117
116,4,0,118
117,5,0,119
118,3,0,120
119,3,0,121
120,5,0,122
121,3,0,123
122,4,0,124
123,6,0,125
124,2,0,127
125,5,0,128
126,9,0,129
127,3,0,130
128,4,0,131
129,3,0,132
130,4,0,133
131,3,0,134
132,4,0,135
133,5,0,136
134,6,0,137
135,3,0,138
136,4,0,139
137,4,0,140
138,5,0,142
139,7,0,143
140,4,0,144
141,5,0,145
142,4,0,146
143,4,0,147
144,3,0,148
145,3,0,149
146,7,0,150
147,7,0,151
148,7,0,152
149,3,0,153
150,6,0,154
151,5,0,155
152,5,0,156
153,5,0,158
154,3,0,159
155,7,0,160
156,5,0,161
157,4,0,162
158,6,0,163
159,11,0,164
160,5,0,165
161,6,0,166
162,5,0,167
163,8,0,168
164,7,0,169
165,8,0,170
166,8,0,171
167,7,0,172
168,4,0,174
169,10,0,175
170,7,0,176
171,8,0,177
172,5,0,178
173,7,0,179
174,10,0,180
175,7,0,181
176,6,0,182
177,9,0,183
178,7,0,184
179,7,0,185
180,9,0,186
181,11,0,187
182,8,0,188
183,9,0,189
184,13,0,191
185,12,0,192
186,10,0,193
187,6,0,194
188,11,0,195
189,6,0,197
190,12,0,198
191,11,0,199
192,9,0,200
193,7,0,201
194,9,0,202
195,9,0,203
196,12,0,204
197,11,0,205
198,12,0,206
199,11,0,207
200,12,0,208
201,11,0,209
202,12,0,210
203,13,0,212
204,10,0,213
205,10,0,215
206,11,0,216
207,12,0,217
208,17,0,218
209,9,0,219
210,10,0,220
211,14,0,221
212,16,0,222
213,11,0,223
214,13,0,224
215,13,0,227
216,8,0,228
217,17,0,229
218,10,0,230
219,16,0,231
220,17,0,232
221,9,0,233
222,8,0,234
223,13,0,235
224,17,0,237
225,13,0,238
226,16,0,239
227,12,0,240
228,16,0,242
229,20,0,244
230,17,0,245
231,14,0,247
232,17,0,249
233,18,0,250
234,19,0,251
235,16,0,252
236,20,0,256
237,16,0,258
238,15,0,259
239,19,0,260
240,14,0,261
241,19,0,262
242,13,0,263
243,18,0,265
244,11,0,266
245,23,0,269
246,17,0,271
247,14,0,274
248,19,0,275
249,17,0,276
250,22,0,277
251,19,0,279
252,20,0,280
253,25,0,281
254,24,0,284
255,17,0,285
256,20,0,286
257,29,0,289
258,19,0,291
259,21,0,292
260,26,0,293
261,21,0,294
262,22,0,295
263,16,0,297
264,19,0,299
265,22,0,300
266,20,0,301
267,29,0,302
268,22,0,303
269,21,0,304
270,14,0,307
271,20,0,309
272,21,0,311
273,30,0,312
274,22,0,313
275,24,0,314
276,25,0,315
277,22,0,318
278,24,0,319
279,28,0,320
280,26,0,321
281,34,0,322
282,27,0,324
283,26,0,325
284,29,0,326
285,28,0,330
286,34,0,331
287,35,0,332
288,21,0,336
289,31,0,338
290,22,0,339
291,34,0,342
292,39,0,346
293,39,0,349
294,28,0,352
295,40,0,353
296,27,0,357
297,32,0,362
298,33,0,363
299,29,0,365
300,37,0,368
301,34,0,370
302,34,0,372
303,34,0,374
304,39,0,375
305,46,0,377
306,34,0,378
307,37,0,379
308,36,0,380
309,44,0,381
310,40,0,385
311,33,0,387
312,39,0,388
313,48,0,390
314,33,0,392
315,40,0,393
316,39,0,395
317,42,0,397
318,42,0,400
319,40,0,401
320,39,0,404
321,38,0,405
322,41,0,407
323,42,0,409
324,49,0,412
325,38,0,414
326,52,0,415
327,40,0,416
328,46,0,419
329,51,0,425
330,42,0,430
331,49,0,433
332,52,0,434
333,43,0,435
334,48,0,438
335,55,0,441
336,42,0,443
337,46,0,445
338,52,0,446
339,54,0,447
340,44,0,448
341,53,0,450
342,44,0,451
343,46,0,452
344,51,0,453
345,53,0,454
346,49,0,456
347,45,0,458
348,55,0,459
349,48,0,461
350,52,0,465
351,52,0,467
352,60,0,469
353,57,0,474
354,52,0,477
355,63,0,482
356,53,0,485
357,56,0,488
358,68,0,491
359,59,0,493
360,63,0,496
361,62,0,501
362,49,0,502
363,73,0,504
364,66,0,506
365,61,0,507
366,64,0,513
367,66,0,515
368,67,0,517
369,69,0,518
370,62,0,520
371,66,0,522
372,70,0,527
373,59,0,530
374,81,0,533
375,78,0,540
376,79,0,541
377,76,0,543
378,77,0,546
379,76,0,551
380,85,0,554
381,68,0,558
382,85,0,566
383,85,0,567
384,84,0,575
385,74,0,576
386,90,0,581
387,92,0,582
388,82,0,584
389,68,0,595
390,96,0,601
391,84,0,604
392,108,0,621
393,102,0,624
394,99,0,630
395,111,0,638
396,119,0,662
397,104,0,665
398,119,0,686
399,124,0,705
400,131,0,723
401,129,0,724
402,124,0,728
403,126,0,730
404,121,0,738
405,150,0,774
406,153,0,788
407,171,0,791
408,173,0,832
409,182,0,874
410,206,0,887
411,197,0,904
412,223,0,933
413,238,0,941
414,223,0,953
415,234,0,962
416,281,0,1068
417,293,0,1096
418,380,0,1209
419,365,0,1212
420,498,0,1416
