,heterozygotes,homozygotes
7,56,0
32,82,7
9,52,1
2,62,0
33,141,12
10,60,0
8,44,2
60,186,27
75,51,12
5,38,1
70,84,28
42,70,7
3,33,0
29,77,5
53,41,6
90,52,19
58,42,8
12,46,1
18,16,1
23,44,1
46,76,8
48,38,5
25,17,4
17,30,2
67,41,13
4,58,1
13,50,1
76,56,10
72,50,11
74,42,16
34,30,2
6,30,0
68,52,8
36,56,8
11,33,0
89,53,18
56,38,9
22,42,1
100,42,29
27,73,4
50,30,10
28,72,6
24,22,1
47,74,10
55,88,11
44,42,1
16,46,1
31,79,7
59,135,21
77,47,15
15,28,1
91,55,18
21,55,4
14,12,1
38,34,2
26,18,4
19,53,2
63,45,9
30,20,5
85,49,18
49,33,8
66,38,14
37,33,2
20,16,2
54,36,9
61,41,10
