,heterozygotes,homozygotes
2,428,0
3,432,0
4,414,1
5,398,1
6,420,0
7,259,0
8,432,0
9,340,1
10,336,2
11,385,0
12,396,0
13,347,2
14,290,2
15,463,1
16,494,1
17,370,2
18,462,3
19,471,2
20,518,1
21,439,1
22,410,4
23,391,0
24,262,1
25,398,1
26,568,2
27,507,3
28,390,1
29,259,1
30,150,0
31,364,4
32,570,3
33,258,3
34,302,2
35,521,2
36,526,7
37,364,3
38,258,4
39,378,6
40,434,3
41,523,5
42,614,8
43,379,4
44,514,7
45,401,2
46,224,3
47,411,6
48,476,2
49,378,7
50,298,1
51,204,0
52,558,7
53,363,4
54,372,3
55,489,3
56,168,0
57,487,13
58,228,2
59,521,5
60,404,8
61,169,7
62,486,5
63,307,4
64,244,6
65,811,17
66,192,3
67,321,7
68,464,6
69,475,4
70,268,6
71,414,6
72,638,5
73,359,3
74,436,4
75,140,5
76,514,9
77,296,6
78,376,7
79,225,6
80,606,17
81,310,7
82,238,4
83,474,12
84,410,5
85,646,17
86,336,4
87,587,11
88,422,9
89,421,12
90,80,5
91,688,20
92,528,12
93,267,6
94,454,8
95,908,21
96,460,10
97,93,2
98,646,20
99,368,14
100,382,9
101,394,5
102,188,8
103,586,16
104,306,3
105,707,14
106,198,7
107,507,14
108,708,24
109,414,11
110,208,6
111,747,15
112,214,5
113,111,1
114,758,20
117,539,23
118,228,4
119,228,5
120,230,5
121,567,19
122,114,4
123,692,23
124,582,19
125,476,12
126,350,14
127,357,12
128,244,6
129,841,31
130,124,3
131,119,6
132,364,16
133,258,4
134,376,13
135,512,14
136,250,11
138,372,21
139,512,22
140,528,16
141,137,2
142,376,25
143,141,1
145,270,10
146,824,26
147,407,17
148,556,18
149,413,17
150,282,9
151,1271,44
152,568,20
153,419,20
154,286,11
155,433,16
156,288,12
157,300,7
159,707,44
160,1018,51
161,145,8
162,446,20
163,449,20
164,630,13
166,144,11
167,606,31
168,156,6
169,165,2
170,1106,42
172,306,19
173,479,20
174,320,14
176,164,6
177,155,11
178,160,9
181,173,4
182,330,17
183,171,6
184,334,17
185,837,44
186,500,29
188,346,15
189,177,6
190,688,36
191,513,30
192,178,7
194,1430,61
195,366,12
197,1082,50
198,180,9
199,535,31
201,183,9
202,736,36
203,553,28
204,188,8
205,179,13
206,572,23
207,571,25
208,192,8
210,558,36
211,191,10
212,376,24
213,187,13
214,194,10
215,374,28
217,354,40
218,392,22
219,591,33
220,586,37
221,597,33
223,181,21
224,202,11
225,388,31
226,400,26
227,203,12
228,400,28
229,203,13
230,202,14
231,390,36
233,207,13
235,219,8
236,216,10
237,201,18
238,824,64
239,215,12
240,212,14
241,221,10
243,1276,91
244,654,39
245,631,52
246,642,48
247,434,30
249,466,16
250,218,16
251,434,34
252,228,12
253,219,17
254,432,38
255,675,45
256,656,56
257,223,17
258,674,50
260,708,36
263,440,43
264,892,82
265,464,33
266,684,57
267,456,39
268,458,39
