n_ton,avg_homo_b,exp_homo_b
2,0.09865470852017937,0.05263157894736842
3,0.11904761904761904,0.15789473684210525
4,0.2830188679245283,0.3157894736842105
5,0.39285714285714285,0.5263157894736842
6,0.9636363636363636,0.7894736842105263
7,1.125,1.105263157894737
8,1.411764705882353,1.4736842105263157
9,2.2037037037037037,1.8947368421052633
10,2.3863636363636362,2.368421052631579
11,2.9655172413793105,2.894736842105263
12,3.2941176470588234,3.473684210526316
13,4.0606060606060606,4.105263157894736
14,5.0,4.7894736842105265
15,5.363636363636363,5.526315789473684
16,6.3,6.315789473684211
17,7.055555555555555,7.157894736842104
18,8.037037037037036,8.052631578947368
19,9.0,9.0
20,10.0,10.0
